iter	Passed	Remaining
0	138	72215
1	263	68587
2	384	66525
3	539	69841
4	732	75769
5	840	72257
6	959	70605
7	1081	69475
8	1201	68464
9	1317	67458
10	1587	73753
11	1684	71570
12	1774	69483
13	1905	69151
14	2040	68954
15	2192	69331
16	2286	67914
17	2404	67324
18	2539	67240
19	2682	67342
20	2796	66710
21	2900	65912
22	3025	65647
23	3127	64903
24	3260	64824
25	3410	65061
26	3513	64421
27	3643	64273
28	3757	63880
29	3855	63222
30	4039	63973
31	4203	64359
32	4316	63957
33	4449	63861
34	4594	63931
35	4729	63848
36	4832	63340
37	4951	63067
38	5086	62997
39	5181	62437
40	5360	62892
41	5495	62804
42	5630	62721
43	5788	62888
44	5904	62583
45	6034	62447
46	6138	62042
47	6292	62133
48	6415	61933
49	6537	61716
50	6734	62193
51	6879	62182
52	6991	61863
53	7096	61502
54	7207	61197
55	7377	61392
56	7504	61222
57	7635	61087
58	7737	60718
59	7869	60594
60	7999	60454
61	8139	60386
62	8264	60209
63	8405	60149
64	8718	61299
65	8809	60868
66	8932	60658
67	9141	61033
68	9267	60840
69	9416	60804
70	9545	60636
71	9692	60579
72	9803	60297
73	9931	60128
74	10059	59951
75	10208	59905
76	10358	59866
77	10510	59828
78	10712	60072
79	10869	60051
80	11013	59960
81	11113	59634
82	11209	59287
83	11363	59253
84	11510	59177
85	11647	59048
86	11836	59184
87	12001	59187
88	12111	58922
89	12231	58709
90	12337	58433
91	12442	58155
92	12560	57940
93	12696	57808
94	12873	57864
95	13005	57712
96	13115	57463
97	13277	57446
98	13380	57170
99	13514	57029
100	13688	57058
101	13902	57245
102	13997	56940
103	14089	56630
104	14206	56419
105	14330	56238
106	14462	56093
107	14572	55860
108	14689	55659
109	14871	55699
110	15047	55716
111	15171	55537
112	15313	55428
113	15435	55243
114	15557	55059
115	15653	54785
116	15753	54531
117	15876	54355
118	15998	54178
119	16105	53954
120	16217	53747
121	16311	53480
122	16484	53474
123	16594	53262
124	16819	53417
125	16966	53323
126	17101	53189
127	17205	52960
128	17355	52872
129	17491	52742
130	17631	52624
131	17734	52398
132	17868	52263
133	17982	52069
134	18127	51965
135	18227	51733
136	18359	51595
137	18498	51475
138	18651	51391
139	18765	51203
140	18899	51068
141	18991	50823
142	19090	50597
143	19209	50424
144	19326	50249
145	19431	50043
146	19560	49898
147	19664	49691
148	19800	49567
149	19965	49515
150	20129	49458
151	20278	49363
152	20423	49255
153	20655	49359
154	20812	49278
155	21196	49730
156	21604	50226
157	21876	50399
158	22133	50531
159	22280	50409
160	22447	50333
161	22863	50808
162	23063	50796
163	23236	50722
164	23464	50769
165	23882	51218
166	24122	51279
167	24502	51630
168	24753	51705
169	24945	51651
170	25117	51556
171	25277	51436
172	25429	51300
173	25561	51123
174	25738	51035
175	25842	50803
176	25987	50653
177	26105	50451
178	26249	50298
179	26384	50131
180	26589	50094
181	26713	49905
182	26822	49687
183	26965	49534
184	27093	49354
185	27246	49219
186	27429	49138
187	27540	48927
188	27685	48778
189	27776	48535
190	27888	48329
191	28024	48166
192	28166	48014
193	28272	47800
194	28410	47641
195	28528	47450
196	28676	47308
197	28783	47100
198	28888	46889
199	29032	46742
200	29181	46603
201	29293	46405
202	29430	46247
203	29565	46087
204	29716	45951
205	29827	45755
206	30046	45723
207	30173	45551
208	30324	45413
209	30441	45226
210	30589	45086
211	30698	44888
212	30834	44731
213	30941	44533
214	31096	44403
215	31222	44232
216	31369	44091
217	31485	43906
218	31604	43727
219	31719	43542
220	31845	43373
221	31994	43235
222	32143	43097
223	32258	42915
224	32474	42866
225	32623	42728
226	32749	42560
227	32868	42382
228	32960	42171
229	33083	42001
230	33199	41822
231	33324	41655
232	33555	41619
233	33663	41432
234	33772	41246
235	33924	41111
236	34118	41028
237	34260	40882
238	34397	40730
239	34500	40538
240	34662	40415
241	35025	40525
242	35151	40359
243	35341	40266
244	35455	40085
245	35575	39914
246	35707	39755
247	35902	39666
248	36032	39505
249	36176	39359
250	36301	39194
251	36401	39001
252	36596	38911
253	36750	38775
254	36863	38598
255	36981	38426
256	37103	38258
257	37233	38099
258	37369	37946
259	37537	37826
260	37687	37687
261	37814	37526
262	37924	37347
263	38058	37193
264	38168	37016
265	38298	36859
266	38436	36708
267	38570	36555
268	38703	36401
269	38831	36242
270	38964	36088
271	39119	35955
272	39253	35802
273	39392	35654
274	39499	35477
275	39624	35317
276	39758	35165
277	39897	35018
278	40047	34879
279	40181	34727
280	40311	34572
281	40458	34432
282	40560	34253
283	40667	34080
284	40801	33929
285	40969	33806
286	41076	33634
287	41207	33480
288	41317	33311
289	41436	33148
290	41554	32986
291	41706	32851
292	41808	32676
293	41909	32501
294	42030	32341
295	42190	32213
296	42305	32049
297	42404	31874
298	42534	31723
299	42718	31611
300	42865	31472
301	43140	31427
302	43308	31302
303	43498	31192
304	43613	31029
305	43710	30854
306	43843	30704
307	43965	30547
308	44066	30376
309	44204	30230
310	44340	30083
311	44470	29931
312	44589	29773
313	44733	29632
314	44836	29463
315	45014	29344
316	45126	29182
317	45262	29036
318	45380	28878
319	45534	28743
320	45663	28592
321	45823	28461
322	45953	28312
323	46077	28158
324	46213	28012
325	46356	27871
326	46469	27711
327	46586	27554
328	46795	27451
329	46944	27313
330	47084	27169
331	47175	26998
332	47304	26848
333	47445	26705
334	47606	26574
335	47731	26422
336	47927	26310
337	48039	26151
338	48133	25983
339	48281	25844
340	48415	25698
341	48515	25534
342	48671	25400
343	48782	25242
344	49041	25160
345	49167	25010
346	49313	24869
347	49441	24720
348	49583	24578
349	49935	24539
350	50099	24407
351	50233	24260
352	50501	24177
353	50610	24018
354	50768	23882
355	50878	23724
356	51012	23577
357	51190	23450
358	51362	23320
359	51466	23160
360	51618	23021
361	51735	22866
362	51848	22710
363	52002	22572
364	52164	22437
365	52276	22281
366	52380	22122
367	52568	21998
368	52711	21855
369	52865	21717
370	53073	21601
371	53185	21445
372	53291	21288
373	53414	21137
374	53564	20997
375	53683	20845
376	53779	20684
377	53930	20544
378	54065	20399
379	54191	20250
380	54325	20104
381	54451	19956
382	54564	19802
383	54670	19647
384	54814	19505
385	54942	19357
386	55092	19218
387	55185	19058
388	55279	18900
389	55410	18754
390	55494	18592
391	55622	18446
392	55830	18325
393	55970	18183
394	56128	18046
395	56233	17892
396	56331	17736
397	56472	17594
398	56594	17446
399	56703	17294
400	56789	17135
401	56918	16990
402	57021	16837
403	57161	16695
404	57300	16553
405	57424	16406
406	57534	16256
407	57694	16120
408	57812	15972
409	57942	15828
410	58128	15698
411	58262	15555
412	58388	15410
413	58550	15273
414	58653	15122
415	58835	14991
416	58970	14848
417	59080	14699
418	59187	14549
419	59293	14399
420	59433	14258
421	59563	14114
422	59666	13964
423	59772	13815
424	59924	13676
425	60062	13535
426	60164	13385
427	60290	13241
428	60446	13103
429	60740	12995
430	60863	12850
431	61055	12719
432	61154	12569
433	61315	12432
434	61475	12295
435	61606	12151
436	61723	12005
437	61850	11861
438	62020	11725
439	62174	11587
440	62298	11442
441	62423	11298
442	62567	11157
443	62686	11012
444	62786	10864
445	62946	10726
446	63055	10579
447	63281	10452
448	63391	10306
449	63500	10160
450	63609	10013
451	63749	9872
452	63883	9730
453	64011	9587
454	64229	9458
455	64386	9319
456	64529	9178
457	64635	9031
458	64756	8888
459	64877	8744
460	65012	8602
461	65124	8457
462	65248	8314
463	65375	8171
464	65510	8030
465	65780	7904
466	65942	7766
467	66154	7633
468	66320	7494
469	66545	7362
470	66759	7228
471	66887	7085
472	67164	6957
473	67324	6817
474	67466	6675
475	67602	6533
476	67756	6392
477	67875	6247
478	68000	6104
479	68122	5960
480	68356	5826
481	68474	5682
482	68581	5537
483	68720	5395
484	68866	5253
485	68989	5110
486	69120	4967
487	69266	4825
488	69372	4681
489	69505	4539
490	69631	4396
491	69773	4254
492	69922	4113
493	70044	3970
494	70238	3831
495	70363	3688
496	70567	3549
497	70735	3408
498	70868	3266
499	70964	3122
500	71114	2980
501	71252	2838
502	71392	2696
503	71510	2553
504	71632	2411
505	71771	2269
506	71883	2126
507	72018	1984
508	72169	1843
509	72297	1701
510	72419	1558
511	72530	1416
512	72672	1274
513	72794	1132
514	72962	991
515	73087	849
516	73315	709
517	73515	567
518	73880	427
519	73988	284
520	74139	142
521	74261	0
