iter	Passed	Remaining
0	168	87533
1	463	120440
2	604	104550
3	818	105940
4	1035	107065
5	1652	142111
6	2156	158667
7	2533	162755
8	2767	157727
9	3150	161309
10	3521	163591
11	3873	164605
12	4096	160396
13	4210	152795
14	4313	145780
15	4440	140431
16	4566	135655
17	4731	132474
18	4905	129874
19	5328	133747
20	5954	142067
21	6292	143008
22	6655	144388
23	6948	144182
24	7250	144138
25	7657	146085
26	7956	145872
27	8294	146337
28	8665	147319
29	8986	147377
30	9233	146252
31	9416	144185
32	9609	142390
33	9805	140744
34	10136	141044
35	10448	141051
36	10933	143321
37	11259	143415
38	11559	143155
39	11758	141690
40	11872	139290
41	12002	137170
42	12223	136162
43	12412	134848
44	12573	133283
45	12820	132663
46	12953	130911
47	13163	129993
48	13484	130163
49	13659	128945
50	13801	127463
51	14094	127394
52	14256	126155
53	14404	124841
54	14496	123090
55	14626	121711
56	14780	120579
57	14911	119295
58	15054	118141
59	15197	117021
60	15305	115671
61	15427	114465
62	15533	113169
63	15657	112050
64	15771	110882
65	15873	109669
66	15980	108523
67	16101	107500
68	16230	106553
69	16401	105903
70	16574	105281
71	16684	104275
72	16804	103358
73	17049	103219
74	17445	103976
75	17579	103161
76	17694	102263
77	17829	101489
78	17977	100811
79	18089	99946
80	18243	99324
81	18376	98608
82	18575	98247
83	18683	97422
84	18842	96875
85	18966	96155
86	19118	95594
87	19257	94973
88	19483	94791
89	19673	94432
90	19798	93770
91	20005	93502
92	20165	93021
93	20378	92787
94	20554	92387
95	20685	91791
96	20785	91071
97	21056	91103
98	21204	90600
99	21340	90058
100	21524	89719
101	21663	89204
102	21792	88649
103	21904	88038
104	22032	87501
105	22150	86929
106	22333	86619
107	22512	86297
108	22650	85823
109	22779	85318
110	22935	84925
111	23165	84801
112	23314	84385
113	23434	83871
114	23568	83412
115	23702	82957
116	23865	82611
117	23997	82161
118	24166	81840
119	24369	81637
120	24486	81148
121	24642	80794
122	24778	80380
123	24940	80051
124	25225	80115
125	25480	80081
126	25625	79701
127	25813	79456
128	25959	79086
129	26108	78726
130	26248	78344
131	26473	78218
132	26638	77912
133	26799	77599
134	26914	77155
135	27062	76808
136	27187	76401
137	27298	75960
138	27421	75555
139	27518	75085
140	27624	74644
141	27734	74219
142	27850	73814
143	27969	73419
144	28088	73029
145	28203	72634
146	28326	72262
